NWGC_ID,Inv_ID
327858,BD3
327859,BD8
327860,BD10
327861,BD12
327862,BD15
327863,BD17
327864,BD20
327865,BD21
327866,BD22
327867,BD31
327868,BD35
327869,BD40
327870,BD42
327871,BD43
327872,BD46
327873,BD47
327874,BD53
327875,BD56
327876,BD60
327877,BD63
327878,BD78
327879,BD80
327880,BD83
327881,BD84
327882,REXP1_LFeA
327883,MS01
327884,MS02
327885,MS04
327886,MS09
327887,MS10
327888,MS11
327889,MS12
327890,MS13
327891,MS14
327892,MS17
327893,MS18
327894,MS19
327895,MS20
327896,MS24
327897,MS25
327898,MS26
327899,MS29
327900,MS30
327901,MS31
327902,MS32
327903,MS35
327904,MS36
327905,MS37
327906,MS38
327907,MS41
327908,MS42
327909,MS43
327910,MS44
327911,MS47
327912,MS48
327913,MS49
327914,MS50
327915,MS51
327916,MS52
327917,MS57
327918,MS58
327919,MS59
327920,MS60
327921,MS61
327922,MS62
327923,MS65
327924,MS66
327925,MS67
327926,MS68
327927,MS69
327928,MS70
327929,MS75
327930,MS76
327931,MS77
327932,MS78
327933,MS79
327934,MS80
327935,MS83
327936,MS84
327937,MS85
327938,MS87
327939,MS94
327940,MS95
327941,MS97
327942,MS98
327943,MS99
327944,MS100
327945,MS101
327946,MS102
327947,MS103
327948,MS104
327949,MS105
327950,MS106
327951,MS107
327952,MS108
327953,MS109
327954,MS110
327955,MS111
327956,MS112
327957,MS113
327958,MS114
327959,MS115
327960,MS116
327961,MS117
327962,MS118
327963,MS119
