SampleID,Cruise,Station,Cast,Filter,Replicate,Depth,Datetime,Latitude,Longitude,SequencingID,Alias1,Alias2,Notes
S11C2.DCM.0_2um.A,mgl1704,11,2,0.2,A,50,6/6/17 16:01,36.99983333,158,367038,BD 78,G2.DCM.PA.S11C2.50m.0_2um.A,
S11C2.DCM.0_2um.B,mgl1704,11,2,0.2,B,50,6/6/17 16:01,36.99983333,158,367028,BD 35,G2.DCM.PA.S11C2.50m.0_2um.B,
S11C2.DCM.0_2um.C,mgl1704,11,2,0.2,C,50,6/6/17 16:01,36.99983333,158,367035,BD 56,G2.DCM.PA.S11C2.50m.0_2um.C,
S11C2.DCM.3um.A,mgl1704,11,2,3,A,50,6/6/17 16:01,36.99983333,158,367025,BD 21,G2.DCM.PA.S11C2.50m.3um.A,
S11C2.DCM.3um.B,mgl1704,11,2,3,B,50,6/6/17 16:01,36.99983333,158,367023,BD 17,G2.DCM.PA.S11C2.50m.3um.B,
S11C2.DCM.3um.C,mgl1704,11,2,3,C,50,6/6/17 16:01,36.99983333,158,367037,BD 63,G2.DCM.PA.S11C2.50m.3um.C,
S15C2.DCM.0_2um.A,mgl1704,15,2,0.2,A,56,6/9/17 14:56,34.00016667,158,367036,BD 60,G2.DCM.PA.S15C2.56m.0_2um.A,
S15C2.DCM.0_2um.B,mgl1704,15,2,0.2,B,56,6/9/17 14:56,34.00016667,158,367024,BD 20,G2.DCM.PA.S15C2.56m.0_2um.B,
S15C2.DCM.0_2um.C,mgl1704,15,2,0.2,C,56,6/9/17 14:56,34.00016667,158,367032,BD 46,G2.DCM.PA.S15C2.56m.0_2um.C,
S15C2.DCM.3um.A,mgl1704,15,2,3,A,56,6/9/17 14:56,34.00016667,158,367041,BD 84,G2.DCM.PA.S15C2.56m.3um.A,
S15C2.DCM.3um.B,mgl1704,15,2,3,B,56,6/9/17 14:56,34.00016667,158,367027,BD 31,G2.DCM.PA.S15C2.56m.3um.B,
S15C2.DCM.3um.C,mgl1704,15,2,3,C,56,6/9/17 14:56,34.00016667,158,367030,BD 42,G2.DCM.PA.S15C2.56m.3um.C,
S17C3.DCM.0_2um.A,mgl1704,17,3,0.2,A,87,6/10/17 18:57,32.00016667,158,367034,BD 53,G2.DCM.PA.S17C3.87m.0_2um.A,
S17C3.DCM.0_2um.B,mgl1704,17,3,0.2,B,87,6/10/17 18:57,32.00016667,158,367022,BD 15,G2.DCM.PA.S17C3.87m.0_2um.B,
S17C3.DCM.0_2um.C,mgl1704,17,3,0.2,C,87,6/10/17 18:57,32.00016667,158,367026,BD 22,G2.DCM.PA.S17C3.87m.0_2um.C,
S17C3.DCM.3um.A,mgl1704,17,3,3,A,87,6/10/17 18:57,32.00016667,158,367033,BD 47,G2.DCM.PA.S17C3.87m.3um.A,
S17C3.DCM.3um.B,mgl1704,17,3,3,B,87,6/10/17 18:57,32.00016667,158,367018,BD 3,G2.DCM.PA.S17C3.87m.3um.B,
S17C3.DCM.3um.C,mgl1704,17,3,3,C,87,6/10/17 18:57,32.00016667,158,367020,BD 10,G2.DCM.PA.S17C3.87m.3um.C,
S18C2.DCM.0_2um.A,mgl1704,18,2,0.2,A,95,6/11/17 14:54,29.582,158.002,367031,BD 43,G2.DCM.PA.S18C2.95m.0_2um.A,
S18C2.DCM.0_2um.B,mgl1704,18,2,0.2,B,95,6/11/17 14:54,29.582,158.002,367019,BD 8,G2.DCM.PA.S18C2.95m.0_2um.B,
S18C2.DCM.0_2um.C,mgl1704,18,2,0.2,C,95,6/11/17 14:54,29.582,158.002,367040,BD 83,G2.DCM.PA.S18C2.95m.0_2um.C,
S18C2.DCM.3um.A,mgl1704,18,2,3,A,95,6/11/17 14:54,29.582,158.002,367021,BD 12,G2.DCM.PA.S18C2.95m.3um.A,
S18C2.DCM.3um.B,mgl1704,18,2,3,B,95,6/11/17 14:54,29.582,158.002,367039,BD 80,G2.DCM.PA.S18C2.95m.3um.B,
