Note,NWGC Sample ID,Investigator Sample Name,Add'l ID
,442874,DP1,S8C2 DCM B
,442875,DP2,S5C6 15m B
,442876,DP3,S6C7 75m B
,442877,DP4,S6C7 15m A
,442878,DP5,S5C6 125m A
,442879,DP6,S6C7 DCM B
,442880,DP7,S6C7 15m B
,442881,DP8,S4C6 B 75m
,442882,DP9,S4C6 A 75m
,442883,DP10,S4C6 B 15m
,442884,DP11,S6C7 75m A
,442885,DP13,S4C6 B DCM
,442886,DP14,S5C6 125m B
,442887,DP15,S8C2 75m A
,442888,DP16,S8C2 DCM A
,442889,DP17,S8C2 15m A
,442890,DP18,S4C6 A 15m
,442891,DP19,S8C2 15m B
,442892,DP20,S4C6 A DCM
,442893,DP21,S5C6 15m A
,442895,DP23,S5C6 DCM B
,442896,DP24,S5C6 DCM A
,442897,DP25,S8C2 75m B
Failed library,442894,DP22,S6C7 DCM A
