sample,PF00003,PF00013,PF00022,PF00034,PF00071,PF00124,PF00125,PF00139,PF00169,PF00185,PF00194,PF00204,PF00235,PF00241,PF00280,PF00294,PF00314,PF00335,PF00349,PF00355,PF00441,PF00445,PF00456,PF00467,PF00504,PF00571,PF00581,PF00588,PF00615,PF00621,PF00642,PF00732,PF00766,PF00784,PF00839,PF00889,PF00892,PF01014,PF01026,PF01041,PF01055,PF01062,PF01067,PF01128,PF01133,PF01151,PF01184,PF01197,PF01232,PF01363,PF01428,PF01434,PF01565,PF01597,PF01625,PF01733,PF01776,PF01786,PF01789,PF01813,PF01928,PF02146,PF02297,PF02401,PF02453,PF02460,PF02507,PF02514,PF02515,PF02517,PF02542,PF02617,PF02685,PF02739,PF02798,PF02893,PF02894,PF03031,PF03040,PF03219,PF03348,PF03388,PF03439,PF03457,PF03577,PF03645,PF03842,PF04012,PF04108,PF04133,PF04137,PF04172,PF04266,PF04278,PF04359,PF04499,PF04607,PF04664,PF04712,PF04727,PF04755,PF04922,PF05018,PF05033,PF05148,PF05185,PF05301,PF05427,PF05477,PF05641,PF05683,PF05783,PF05811,PF05996,PF06090,PF06108,PF06206,PF06421,PF06432,PF06565,PF06602,PF06859,PF06925,PF06965,PF07106,PF07650,PF07784,PF07876,PF08030,PF08123,PF08125,PF08221,PF08232,PF08385,PF08393,PF08551,PF08713,PF08773,PF08839,PF08854,PF09286,PF09333,PF09353,PF09728,PF09747,PF09793,PF10188,PF10211,PF10235,PF10252,PF10367,PF10601,PF10672,PF11152,PF11175,PF12329,PF12352,PF12738,PF12775,PF12796,PF12816,PF13041,PF13383,PF13401,PF13407,PF13462,PF13507,PF13637,PF13864,PF13886,PF13913,PF13917,PF13925,PF14259,PF14727,PF14778,PF14782,PF14870,PF15104,PF15782,PF16158,PF16313,PF16672
altemp_AM,10.046574999999999,158.030067,25988.574992,112.935233,4499.331731,33.123315,1254.456191,8.453067,876.477907,23.890872,3.438952,12.25788,701.288083,1319.344496,6.091256,49.400457,3.457763,61.516688,0,52.145261,818.408139,31.819039999999998,5.952926,0,992.5884599999999,436.748742,122.76935399999999,48.418922,264.029631,333.004373,326.82041200000003,55.384154,132.271618,0,0,3.269122,356.583549,1.801159,17.192139,118.602166,99.322103,755.764652,10.611761,0,44.088224,9.836621000000001,0,0,0,218.60877399999998,0,53.95795,85.741693,81.808094,677.2428130000001,12.149083000000001,715.155734,398.438305,26.596297,48.303669,1.225458,287.555135,155.760762,6.7426319999999995,0,187.268395,0,1.1732420000000001,32.565425,17.297629,0,74.73050599999999,144.065789,4.843979,130.199464,4.337648,0.859166,672.594379,0,53.169612,104.067936,27.74977,6.776835,17.069019,182.969144,403.380781,0,11.796724,3.409271,127.093302,58.634999,0.611424,3.54441,5.714388,0,0,299.517139,4.204553,40.607233,685.2629860000001,1799.528173,1.432244,98.435292,0,0,20.665954,37.636433,0,6.048011,50.422118,16.766446,35.241302,0,3.965215,2.750413,113.53787700000001,271.670515,1.3262459999999998,0,102.932009,6.614663,1.997977,2.050712,114.976112,0.676849,0,0,29.267737999999998,23.780283,55.415332,0,1.078404,0,80.238402,87.859318,2.448106,0,1.338828,0,0.974591,99.358547,0,26.9363,2.134706,2.204094,22.089267,6.978825,94.107668,8.91389,0,0,0,1.022954,0.836619,12.310357999999999,0,291.924473,4.026068,63.893884,3789.038697,0.612356,85.819056,27.821466,1.044767,0.965608,6.365546999999999,5.999577,135.231747,119.130735,100.386586,49.055791,3.287802,4.625785,127.001966,1.508095,2.118179,9.159642999999999,0.610866,96.769656,6.016799,124.20537900000001,1.363049,13.681869
altemp_PM,7.811928999999999,157.474385,17880.00812,167.023186,4537.827236,9.917466,1614.436955,3.592029,1017.085206,20.106738,2.019387,8.762819,617.688361,1069.400022,3.476758,44.077186,6.56312,109.628105,0,72.577281,731.000565,30.660477,77.522802,5.16538,161.364151,234.35188,126.64463500000001,32.422391,151.240313,358.826535,311.724288,73.574281,113.938269,2.570908,0,2.2274450000000003,331.957855,2.456796,11.262584,85.650896,75.051151,785.143758,6.125089,0,26.962591,13.229158,0,0,0,291.042972,0,57.231466,114.70065,48.268021999999995,854.807948,13.04296,820.699932,274.613231,15.742571,40.139303,0.6752,238.264812,101.678752,12.481546,0,291.197576,0,1.5579290000000001,34.72907,14.533947,0.581638,82.341736,57.694263,2.155087,85.952248,0,0,599.572377,0,24.806704,283.837405,9.871787,6.272529,17.532334,190.816118,328.58153899999996,0.998171,11.706032,4.585314,148.368561,54.971223,0.58133,3.1936489999999997,16.093018999999998,1.715109,0,224.880898,5.4369250000000005,22.793902,571.627849,2591.071508,2.483226,61.685058,0,1.59427,15.748961000000001,38.758501,0,4.253261,61.797689,7.7577110000000005,48.41824,0,3.978329,1.9911539999999999,96.59693800000001,361.89766299999997,1.145238,0,71.610224,4.6984960000000004,2.034872,2.218361,129.903526,1.747837,0,0,23.023892,28.867797,49.912472,0,0,0,107.374731,98.823888,2.357769,0,3.90841,0,1.322249,72.715491,0,20.627913,1.383091,2.718873,14.011985,7.022788,50.830005,8.722069,0,0,0,1.717475,2.473863,5.709094,0,362.53658,5.017444,149.532063,2909.578249,0,76.95142799999999,25.380187,3.699977,0,7.139889999999999,7.60553,103.766865,119.473056,37.429544,52.121908,3.044833,5.008395,130.842684,4.038135,0.74577,8.229208999999999,0.854796,65.68144600000001,3.451634,101.94417,2.374882,12.27793
amphora_cont_2,787.01485,195.224998,174.733693,0,772.934705,46.70928,653.002416,2.803057,87.831549,106.497819,53.990453,0,0,26.761969,47.265875,80.161295,0,0,0,1446.041628,229.931945,0,46.129836,0,101943.020412,209.581631,46.840414,124.910741,0,0,47.469039,172.798222,0,0,0,1067.326575,209.072644,0,130.445034,87.35026,12.56374,776.828437,0,56.344419,0,197.347172,0.173228,0,0,11.464778,0,242.653227,6.185006,0,455.862082,8.761836,0,97.02053,54.963206,103.000749,11.703768,129.037934,0,114.492241,0,365.898053,0,92.006518,0,19.660253,44.883283,264.590357,1.65987,8.825407,163.249582,0,0,156.960749,0,93.347452,58.106376,0,12.155849,660.776096,5.871223,0,1098.087021,127.570964,8.710381,0,54.019822,34.658655,0.597217,163.66698,23.907418,17.306218,18.793777,0,0,30.718944,224.56591,0,0,0,0,10.839589,0,0,0,0,0,0,28.839339,139.339438,0,64.455955,0,7.945405,0,0,4.010731,0,58.884184,0,0,0,0,85.753912,1.722231,287.592529,132.364306,0,0,0,0,0,0,0,0,26.456556,0,0,679.654788,0,0,0,0,0,0,0,0,37.876117,44.453094,0,0,0,153.341364,8.087044,0,1766.860855,5.954183,288.387811,49.858104,3.504163,35.391149,0,134.169916,493.58621,0,0,0,0,0,0,0,0,0,368.240547,0,0,0,0,0
amphora_cont_3,512.259396,248.241213,160.236309,0,934.561313,45.043389,818.936266,5.60398,124.957392,198.381424,111.042603,0,0,15.970111,19.347307,131.737135,0,0,0,1606.342669,88.756222,0,53.478974,9.99906,66690.291355,184.387016,35.584175,183.609896,0,0,138.8699,101.181673,0,0,0,1014.432156,204.06558,0,46.751378,106.363478,21.330759,741.003666,0,91.09275,0,190.276422,0.585726,0,0,22.69891,0,256.384382,8.316154,0,574.173565,15.620812,0,86.524604,83.421453,164.536289,9.888532,148.420689,0,90.683843,0,246.144213,5.463414,91.71324,0,43.752408,44.107941,350.378385,0.85438,21.737639,195.51175,0,1.337877,318.005384,0,110.430265,10.336164,0,9.568115,687.023516,9.95494,0,1071.262473,104.969664,18.57019,0,67.71388,30.599149,0.86828,125.099901,0,19.053221,24.82284,0,0,29.752144,302.420864,0,0,0,0,14.774434,0,0,0,0,0,0,60.587663,178.659323,0,104.551555,16.527507,16.953385,0.475711,0,16.906262,0,85.142541,0,0,0,0,67.615817,2.917788,80.195413,48.182835,0,0,0,0,0,0,0,0,17.561147,0,6.080352,738.635577,0,0,0,0,0,0,0,0,7.281801,67.588138,0,0,0,186.47604,19.011375,0,1966.480066,6.485113,250.084457,66.811953,10.85428,28.169421,0,159.875326,453.707971,0,0,0,0,0,0,0,0,0,335.669983,0,0,0,0,0
amphora_H2O2_1,260.384332,343.26801,57.555141,0,4203.319313,323.063582,801.212518,6.612931,65.526981,330.326658,388.730084,1.367316,0,34.859614,16.005552,148.156869,0,0,0,488.602956,19.878869,0,75.61401,6.422592,17497.902716,513.433419,46.870253,68.786833,0,0,260.349665,53.335092,0,0,0,304.823244,459.875179,0,21.998234,15.417121,60.92435,892.342217,0,4.63513,0,439.051334,13.777182,0,0,41.643238,0,1113.089624,38.119235,0,1289.783968,97.534907,0,354.471327,98.041431,60.972215,1.236832,406.422746,0,67.494647,0,1190.548164,4.133243,92.963813,0,33.440086,56.169785,323.885322,0.947116,5.190978,66.430466,0,3.246608,783.795283,0,96.527633,171.265634,0,20.739558,488.348677,258.418207,0,683.696941,464.316075,71.191753,0,700.489298,17.726398,0.246053,107.110672,28.005836,14.000099,30.522132,0,0,45.720632,646.472992,0,0,0,0,32.968168,0,0,0,0,0,0,313.727681,78.095461,0,158.515231,0,9.874969,3.230966,0,9.850112,0,65.7164,0,0,0,0,43.909206,2.999962,296.38865,120.964984,0,0,0,0,0,0,0,0,25.131357,0,12.389996,436.030946,0,0,0,0,0,0,0,0,1.243513,8.785891,0,0,0,606.012418,30.538332,0,3794.598477,3.313981,552.734382,66.484968,3.146109,183.64582,0,34.379011,1087.177297,0,0,0,0,0,0,0,0,0,280.710914,0,0,0,0,0
amphora_H2O2_2,333.440919,423.184356,79.667082,0,4036.90781,822.183057,819.439766,3.433621,69.861361,363.969787,448.791063,0,0,0,22.960977,151.165379,0,0,0,692.422272,26.138162,0,86.689246,0,21860.957591,586.07473,47.903226,53.86074,0,0,211.727888,40.135833,0,0,0,381.788863,521.186931,0,17.328448,11.536602,61.182784,862.492017,0,7.200526,0,390.245164,25.261167,0,0,48.230021,0,1401.728181,42.068186,0,1324.735688,113.912491,0,350.172673,91.496053,25.477696,6.305476,464.469535,0,33.344797,0,1439.08796,12.758967,81.594622,0,33.362044,31.591986,321.065311,0.772435,8.078554,55.972771,0,1.178019,928.655986,0,75.318929,195.008428,0,29.07103,549.364229,276.233726,0,737.997138,432.569017,106.404047,0,665.01891,20.567096,1.195035,89.118248,16.007655,17.34468,35.757701,0,0,50.341234,645.936,0,0,0,0,34.994697,0,0,0,0,0,0,136.361756,73.673277,0,194.395172,0,8.473903,6.251263,0,9.024637,0,64.471383,0,0,0,0,18.656038,3.2351,270.161572,129.85028,0,0,0,0,0,0,0,0,21.171884,0,16.196574,459.099232,0,0,0,0,0,0,0,0,3.754301,6.093971,0,0,0,440.446972,39.941258,0,3886.764247,2.822094,487.522245,73.530836,1.367153,256.426625,0,42.453807,961.060325,0,0,0,0,0,0,0,0,0,483.558599,0,0,0,0,0
amphora_H2O2_3,392.663151,449.57057,91.933605,0,4116.698613,690.74341,781.431282,4.606949,75.76229,270.760229,462.936503,0.610883,0,38.741063,19.108289,156.724321,0,0,0,700.503391,23.345759,0,86.250713,7.933252,17667.788522,486.142876,33.859385,73.323485,0,0,198.282893,46.893672,0,0,0,355.45973,617.658287,0,32.402883,19.622827,57.866984,933.340524,0,2.995952,0,359.977575,15.731256,0,0,56.377428,0,1398.364928,41.466374,0,1254.531018,96.667023,0,355.821552,52.867622,35.823545,2.497032,468.069635,0,25.31076,0,1593.919314,4.279276,74.182476,0,39.269994,15.4581,199.411992,0.770572,10.983288,47.93979,0,0,975.673036,0,63.783263,235.992665,0,39.706216,565.031459,283.192036,0,734.482181,434.460576,121.575266,0,788.457956,27.146722,0.546998,63.093935,18.14574,20.585825,52.40936,0,0,52.539107,485.835055,0,0,0,0,34.872785,0,0,0,0,0,0,207.979162,68.555063,0,178.860212,1.805855,6.102536,2.701144,0,15.580495,0,61.000186,0,0,0,0,26.19431,4.539907,280.675137,116.196527,0,0,0,0,0,0,0,0,16.270157,0,21.1963,476.581832,0,0,0,0,0,0,0,0,5.142059,10.09754,0,0,0,468.021324,40.39601,0,3855.129949,3.887949,509.64321,87.742818,1.761478,244.65049,0,57.001489,978.089063,0,0,0,0,0,0,0,0,0,366.145558,0,0,0,0,0
amphora_no_Fe_1,989.809168,420.116773,697.138959,0,3591.119768,63.494213,897.117814,84.834263000000007,117.034977,125.770095,324.609423,5.262935,0,26.095485,72.863555,217.774669,0,0,0,280.248534,275.673902,0,149.10286,11.804751,3551.292043,351.063752,34.281121,190.259471,0,0,86.738616,61.310655,0,0,0,279.011448,448.26741,0,401.865575,23.478378,98.696486,1399.375576,0,9.981373,0,119.10128,56.052533,0,0,46.597417,0,332.447205,149.156618,0,428.933283,16.327575,0,6.872288,28.298867,43.394231,6.446253,273.329532,0,65.684505,0,1056.313107,0,84.732223,0,8.995555,18.567554,164.838402,29.209839,20.611108,149.252881,0,0.501431,280.812639,0,66.951562,466.203395,0,15.838226,800.003474,38.386528,0,795.240861,164.728989,157.161729,0,147.59315900000001,50.942716,113.690072,137.084198,59.117231,27.010398,49.895819,0,0,22.488326,181.00645599999999,0,0,0,0,38.070895,0,0,0,0,0,0,29.863629,67.029026,0,23.931835,4.479171,21.750687,18.721941,0,33.267854,0,78.566625,0,0,0,0,69.746816,360.183015,310.058893,99.936595,0,0,0,0,0,0,0,0,22.444769,0,82.514422,285.299313,0,0,0,0,0,0,0,0,9.853357,76.534764,0,0,0,690.595473,31.822104,0,4020.744569,11.378935,729.884011,110.862621,7.843492,155.266187,0,50.607773,1269.932493,0,0,0,0,0,0,0,0,0,65.538784,0,0,0,0,0
amphora_no_Fe_2,1059.764876,427.812988,1220.922354,0,3677.614264,147.952125,934.329785,77.03703,140.750291,62.80136,283.079037,4.967931,0,25.992337,54.983295,190.025054,0,0,0,270.307919,307.315409,0,167.276706,0,2320.525919,296.95124,41.931595,160.712474,0,0,83.512097,48.197641,0,0,0,276.438636,475.732296,0,496.57615500000003,13.907927,98.006085,1332.431583,0,2.875813,0,138.122515,73.741277,0,0,30.028714,0,282.741202,179.811488,0,376.513685,8.109735,0,10.207796,16.66802,61.119833,13.557267,231.863353,0,52.728458,0,1054.469099,2.546899,69.638044,0,10.096354,28.470094,138.897644,18.494411,21.128563,111.072357,0,0,242.032564,0,54.625506,510.970349,0,14.89347,728.728734,28.3885,0,876.4096,141.118732,148.745573,0,107.936163,37.030688,119.311388,160.725389,80.113538,26.785714,45.910913,0,0,25.164095,137.156809,0,0,0,0,23.654472,0,0,0,0,0,0,39.32991,90.384979,0,31.639113,6.795027,22.798471,34.237821,0,30.319188,0,38.759831,0,0,0,0,73.051245,403.566035,303.785965,108.506626,0,0,0,0,0,0,0,0,25.010789,0,91.747146,283.102356,0,0,0,0,0,0,0,0,19.264791,68.445795,0,0,0,778.227152,40.954351,0,4341.772303,7.263339,776.650658,96.667567,7.821897,129.807638,0,34.704215,1369.138659,0,0,0,0,0,0,0,0,0,44.672292,0,0,0,0,0
amphora_no_Fe_3,1152.632966,463.268076,1103.841847,10.982799,3728.070918,53.553827,781.547984,90.728693,123.036688,125.028925,348.08609,24.422898,0,13.393296,74.841048,230.602616,0,0,0,331.585211,311.214946,0,136.082074,11.857574,2007.818001,317.052294,48.057043,238.150876,0,0,65.394562,66.413131,0,0,0,296.591323,474.303906,0,450.400201,16.95904,107.734603,1387.669121,0,16.760232,0,98.065958,72.309083,0,0,47.300057,0,283.496317,150.252904,0,395.978852,11.456872,0,4.65163,23.191041,53.438322,8.163428,281.22606,0,48.254916,0,974.750961,0,69.524655,0,11.796817,27.865187,98.705997,34.47246,16.844163000000002,130.362673,0,0.559817,259.332246,0,58.106435,497.151093,0,12.104387,882.723659,39.883273,0,795.25572,144.990826,174.066984,0,127.239373,37.328047,133.815528,173.949318,46.475974,29.467584,49.608777,0,0,38.145464,183.379119,0,0,0,0,43.413796,0,0,0,0,0,0,39.187465,56.688564,0,39.34412,1.066112,21.702647,31.266367,0,34.101516,0,69.245777,0,0,0,0,59.795611,470.45112,278.30356,103.345541,0,0,0,0,0,0,0,0,19.892324,0,79.579948,298.383651,0,0,0,0,0,0,0,0,17.29477,64.327321,0,0,0,668.238569,30.282535,0,4012.271892,14.381028,696.442323,107.461553,6.750725,159.561122,0,61.809791,1223.253126,0,0,0,0,0,0,0,0,0,64.798536,0,0,0,16.447455,0
